Month,Average Max Temperature,Total Rainfall
1,25.068749999999998,118.0
2,24.635714285714283,78.4
3,29.312903225806455,38.6
4,25.025000000000002,52.8
5,25.599999999999998,40.400000000000006
6,19.825925925925926,17.200000000000003
7,16.816666666666666,7.6
8,14.596153846153847,15.6
9,11.523809523809524,26.2
10,12.36153846153846,13.6
11,18.113793103448273,43.8
12,22.467857142857145,20.4
